number, name, year, director, screenwriter, roles, style, countries, language, date, long, imdb, evaluation
19,摔跤吧！爸爸 Dangal,2016,['涅提·蒂瓦里'],"['比于什·古普塔', '施热亚·简', '尼基尔·麦罗特拉', '涅提·蒂瓦里']","['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃', '塞伊拉·沃西', '苏哈妮·巴特纳格尔', '里特维克·萨霍里', '吉里什·库卡尼']","['剧情', '家庭', '传记', '运动']", 印度, 印地语 / 英语,2017-05-05(中国大陆),161分钟(印度), tt5074352,9.0
24,绿皮书 Green Book,2018,['彼得·法雷里'],"['尼克·瓦莱隆加', '布莱恩·库瑞', '彼得·法雷里']","['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·库瑞', '托尼亚·马尔多纳多']","['剧情', '喜剧', '音乐', '传记']", 美国 / 中国大陆, 英语 / 意大利语 / 俄语 / 德语,2019-03-01(中国大陆),130分钟, tt6966692,8.9
40,当幸福来敲门 The Pursuit of Happyness,2006,['加布里埃莱·穆奇诺'],['斯蒂夫·康拉德'],"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦', '丹·卡斯泰兰尼塔', '柯特·富勒', '塔卡尤·费舍尔', '凯文·韦斯特', '乔治·张', '戴维·迈克尔·西尔弗曼', '多米尼克·博夫', '杰弗·卡伦', '乔伊芙·拉文', '斯科特·克拉斯']","['剧情', '家庭', '传记']", 美国, 英语 / 粤语,2008-01-17(中国大陆),117分钟, tt0454921,9.2
63,猫鼠游戏 Catch Me If You Can,2002,['史蒂文·斯皮尔伯格'],['杰夫·内桑森'],"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛', '艾米·亚当斯', '詹妮弗·加纳', '伊丽莎白·班克斯', '纳塔莉·贝伊', '詹姆斯·布洛林', '艾伦·旁派', '南希·利内翰', '布莱恩·豪威 ', '弗兰克·约翰·休斯', '克里斯·埃里斯']","['剧情', '传记', '犯罪']", 美国 / 加拿大, 英语 / 法语,2003-04-11(中国大陆),141 分钟, tt0264464,9.1
85,末代皇帝 The Last Emperor,1987,['贝纳尔多·贝托鲁奇'],"['贝纳尔多·贝托鲁奇', '马克·派普罗']","['尊龙', '陈冲', '邬君梅', '彼得·奥图尔', '英若诚', '吴涛', '黄自强', '丹尼斯·邓', '坂本龙一', '马吉·汉', '里克·扬', '田川洋行', '苟杰德', '理查德·吴', '皱缇格', '陈凯歌', '卢燕', '区亨利', '陈述', '鲍皓昕', '黄文捷', '邵茹贞', '亨利·基', '张良斌', '梁冬', '康斯坦丁·格雷戈里', '黄汉琪', '王涛', '宋怀桂', '蔡鸿翔', '程淑艳', '张天民']","['剧情', '传记', '历史']", 英国 / 意大利 / 中国大陆 / 法国, 英语 / 汉语普通话 / 日语,1987-10-04(东京国际电影节),163分钟, tt0093389,9.3
87,中国机长,2019,['刘伟强'],['于勇敢'],"['张涵予', '欧豪', '杜江', '袁泉', '张天爱', '李沁', '雅玫', '杨祺如', '高戈', '黄志忠', '朱亚文', '李现', '焦俊艳', '吴樾', '阚清子', '李岷城', '冯文娟', '陈数', '杨颖', '余皑磊', '关晓彤', '小爱', '伊拉尔·帕萨', '亚历克斯·皮希汀', '赵亮', '周波']","['剧情', '传记', '灾难']", 中国大陆, 汉语普通话 / 藏语 / 英语 / 四川话,2019-09-30(中国大陆),111分钟, tt10218664,6.6
149,血战钢锯岭 Hacksaw Ridge,2016,['梅尔·吉布森'],"['安德鲁·奈特', '罗伯特·申坎']","['安德鲁·加菲尔德', '萨姆·沃辛顿', '文斯·沃恩', '雨果·维文', '卢克·布雷西', '泰莉莎·帕尔墨', '瑞切尔·格里菲斯', '内森奈尔·布佐里克', '理查德·劳斯伯格', '马特·纳夫莱', '费拉斯·迪拉尼', '瑞安·柯尔', '卢克·佩格勒']","['剧情', '传记', '历史', '战争']", 澳大利亚 / 美国, 英语 / 日语,2016-12-08(中国大陆),139分钟(中国大陆), tt2119532,8.7
175,钢琴家 The Pianist,2002,['罗曼·波兰斯基'],['罗纳德·哈伍德'],"['艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基', '埃德·斯托帕德', '穆琳·利普曼', '弗兰克·芬莱', '茱莉亚·蕾娜', '杰西卡·凯特·梅耶尔', '理查德·赖丁斯']","['剧情', '音乐', '传记', '战争']", 英国 / 法国 / 波兰 / 德国, 英语 / 德语 / 俄语,2002-05-24(戛纳电影节),150分钟, tt0253474,9.3
234,模仿游戏 The Imitation Game,2014,['莫滕·泰杜姆'],"['格拉汉姆·摩尔', '安德鲁·霍奇斯']","['本尼迪克特·康伯巴奇', '凯拉·奈特莉', '马修·古迪', '罗里·金尼尔', '艾伦·里奇', '马修·比尔德', '查尔斯·丹斯', '马克·斯特朗', '詹姆斯·诺斯科特', '汤姆·古德曼-希尔', '史蒂芬·威丁顿', '伊兰·古德曼', '杰克·塔尔登', '埃里克斯·劳瑟', '杰克·巴农', '塔彭丝·米德尔顿', '安德鲁·哈维尔', '维尔·博登', '李·阿斯奎斯-柯', '海莉·乔安妮·培根', '安库塔·布雷班', '格雷斯·卡尔德', '理查德·坎贝尔', '温斯顿·丘吉尔', '克里斯·考林', '汉娜·弗林', '阿道夫·希特勒 Adolf Hitler', '卢克·霍普', '斯图尔特·马修斯', '亚当·诺威尔', '哈里·S·杜鲁门']","['剧情', '同性', '传记', '战争']", 英国 / 美国, 英语 / 德语,2015-07-21(中国大陆),114分钟, tt2084970,8.7
236,音乐之声 The Sound of Music,1965,['罗伯特·怀斯'],"['乔治·胡达勒克', '霍华德·林赛', '拉塞尔·克劳斯', '恩斯特·莱赫曼', '玛丽亚·冯·特拉普']","['朱莉·安德鲁斯', '克里斯托弗·普卢默', '埃琳诺·帕克', '理查德·海顿', '佩吉·伍德', '查尔敏·卡尔', '希瑟·孟席斯-尤里克', '尼古拉斯·哈蒙德', '杜安·蔡斯', '安吉拉·卡特怀特', '黛比·特纳', '基姆·卡拉思', '安娜·李', '波希娅·纳尔逊', '本·怀特', '丹尼尔·特鲁希特', '诺玛·威登', '吉尔克里斯特·斯图尔特', '马妮·尼克松', '埃瓦德妮·贝克', '多丽丝·劳埃德', '格特鲁德·阿斯特', '弗兰克·贝克', '史蒂夫·卡鲁瑟斯', '山姆·哈里斯', '多罗西·吉金斯', '利奥达·理查德斯', '杰弗里·塞尔', '伯纳德·赛尔', '诺尔曼·斯蒂凡斯', '伯特史蒂文斯', '玛丽亚·冯·特拉普']","['剧情', '爱情', '歌舞', '传记']", 美国, 英语 / 德语,1965-03-02(美国),174分钟, tt0059742,9.1
240,妈妈的神奇小子 媽媽的神奇小子,2021,['尹志文'],"['尹志文', '卢文骏']","['吴君如', '张继聪', '梁仲恒', '胡子彤', '卢海鹏', '钱小豪', '杨伟伦', '冯皓扬', '林家熙', '吴肇轩', '陆永', '钟雪莹', '麦沛东', '苏桦伟']","['剧情', '传记', '运动']", 中国香港 / 中国大陆, 粤语 / 汉语普通话,2021-09-04(中国大陆),102分钟(中国大陆), tt14892216,6.9
283,波西米亚狂想曲 Bohemian Rhapsody,2018,['布莱恩·辛格'],"['安东尼·麦卡滕', '皮特·摩根']","['拉米·马雷克', '本·哈迪', '约瑟夫·梅泽罗', '格威利姆·李', '艾伦·里奇', '露西·宝通', '艾丹·吉伦', '汤姆·霍兰德', '麦克·梅尔斯', '阿隆·麦克卡斯克', '梅内卡·达斯', '迪基·博', '蒂姆· 普莱斯特', '杰克·罗思', '马克斯·班内特', '基兰·哈德卡斯托', '罗斯·格林', '布鲁斯·麦克金伦', '米歇尔·邓肯', '马特·格林伍德', '罗茜·本杰明', '约翰·奥特曼', '詹姆斯·华莱士', '文森特·阿德里安', '拉斯科·阿特金斯', '乔纳森·奇塔姆', '迈克尔·科布', '耶稣·加洛', '亚当·兰伯特', '豪尔赫·莱昂·马丁内斯', '杰森· 莱恩斯', '伊斯雷尔·鲁兹']","['剧情', '同性', '音乐', '传记']", 英国 / 美国, 英语,2019-03-22(中国大陆),135分钟, tt1727824,8.6
300,一代宗师 一代宗師,2013,['王家卫'],"['邹静之', '徐浩峰', '王家卫']","['梁朝伟', '章子怡', '张震', '宋慧乔', '赵本山', '小沈阳', '王庆祥', '张晋', '卢海鹏', '冯克安', '刘家勇', '张智霖', '金士杰', '徐锦江', '刘洵', '尚铁龙', '罗莽', '吴廷烨']","['剧情', '动作', '爱情', '传记']", 中国大陆 / 中国香港, 汉语普通话 / 粤语 / 日语,2013-01-08(中国大陆),111分钟(3D重映),"
        ",8.1
