number, name, year, director, screenwriter, roles, style, countries, language, date, long, imdb, evaluation
5,沙丘 Dune,2021,['丹尼斯·维伦纽瓦'],"['丹尼斯·维伦纽瓦', '乔·斯派茨', '艾瑞克·罗斯', '弗兰克·赫伯特']","['蒂莫西·柴勒梅德', '丽贝卡·弗格森', '奥斯卡·伊萨克', '戴夫·巴蒂斯塔', '赞达亚', '杰森·莫玛', '乔什·布洛林', '哈维尔·巴登', '斯特兰·斯卡斯加德', '夏洛特·兰普林', '大卫·达斯马齐连', '莎伦·邓肯-布鲁斯特', '斯蒂芬·亨德森', '迈克尔·纳尔多内', '张震', '巴布斯·奥卢桑莫昆', '奥利弗·瑞安', '查理·罗尔斯', '格洛里亚·奥比安约', '保罗·布林', '比约恩·弗赖贝格']","['剧情', '科幻', '冒险']", 美国, 英语 / 汉语普通话,2021-10-22(美国/中国大陆),156分钟, tt1160419,7.7
9,疯狂动物城 Zootopia,2016,"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什']","['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什', '吉姆·里尔顿', '乔西·特立尼达', '菲尔·约翰斯顿', '珍妮弗·李']","['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯', '邦尼·亨特', '唐·雷克', '汤米·钟', 'J·K·西蒙斯', '奥克塔维亚·斯宾瑟', '艾伦·图代克', '夏奇拉', '雷蒙德·S·佩尔西', '德拉·萨巴', '莫里斯·拉马奇', '菲尔·约翰斯顿', '约翰·迪·马吉欧', '凯蒂·洛斯', '吉塔·雷迪', '杰西·科尔蒂', '汤米·利斯特', '乔希·达拉斯', '瑞奇·摩尔', '凯斯·索西', '彼得·曼斯布里奇', '拜伦·霍华德', '杰拉德·布什', '马克·史密斯', '乔西·特立尼达', '约翰·拉维尔', '克里斯汀·贝尔', '吉尔·科德斯', '梅利莎·古德温']","['喜剧', '动画', '冒险']", 美国, 英语 / 挪威语,2016-03-04(中国大陆/美国),109分钟(中国大陆), tt2948356,9.2
21,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,2001,['克里斯·哥伦布'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '艾伦·瑞克曼', '玛吉·史密斯', '汤姆·费尔顿', '伊恩·哈特', '理查德·哈里斯', '约翰·赫特', '罗彼·考特拉尼', '朱丽·沃特斯', '邦妮·怀特', '约翰·克里斯', '肖恩·比格斯代夫']","['奇幻', '冒险']", 美国 / 英国, 英语,2002-01-26(中国大陆),152分钟, tt0241527,9.1
28,流浪地球,2019,['郭帆'],"['龚格尔', '严东旭', '郭帆', '叶俊策', '杨治学', '吴荑', '叶濡畅', '沈晶晶', '刘慈欣']","['吴京', '屈楚萧', '李光洁', '吴孟达', '赵今麦', '隋凯', '屈菁菁', '张亦驰', '杨皓宇', '阿尔卡基·沙罗格拉茨基', '李虹辰', '杨轶', '姜志刚', '张欢', '雷佳音', '宁浩', '刘慈欣', '郭京飞', '王智', '张子贤', '路阳', '张宁', '张小北', '饶晓志', '陶珞依', '吴晓亮', '龚格尔', '郭帆']","['科幻', '冒险', '灾难']", 中国大陆, 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,2019-02-05(中国大陆),125分钟, tt7605074,7.9
31,盗梦空间 Inception,2010,['克里斯托弗·诺兰'],['克里斯托弗·诺兰'],"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪', '渡边谦', '迪利普·劳', '基里安·墨菲', '汤姆·贝伦杰', '玛丽昂·歌迪亚', '皮特·波斯尔思韦特', '迈克尔·凯恩', '卢卡斯·哈斯', '李太力', '克莱尔·吉尔蕾', '马格努斯·诺兰', '泰勒·吉蕾', '乔纳森·吉尔', '水源士郎', '冈本玉二', '厄尔·卡梅伦', '瑞恩·海沃德', '米兰达·诺兰', '拉什·费加', '蒂姆·科勒赫', '妲露拉·莱莉']","['剧情', '科幻', '悬疑', '冒险']", 美国 / 英国, 英语 / 日语 / 法语,2010-09-01(中国大陆),148分钟,"
        ",9.4
32,星际穿越 Interstellar,2014,['克里斯托弗·诺兰'],"['乔纳森·诺兰', '克里斯托弗·诺兰']","['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依', '卡西·阿弗莱克', '迈克尔·凯恩', '马特·达蒙', '蒂莫西·柴勒梅德', '艾伦·伯斯汀', '约翰·利思戈', '韦斯·本特利', '大卫·吉亚西', '比尔·欧文', '托弗·戈瑞斯', '科莱特·沃夫', '弗朗西斯·X.麦卡蒂', '安德鲁·博尔巴', '乔什·斯图沃特', '莱雅·卡里恩斯', '利亚姆·迪金森', '杰夫·赫普内尔', '伊莱耶斯·加贝尔', '布鲁克·史密斯', '大卫·奥伊罗', '威廉姆·德瓦内', '拉什·费加', '格里芬·弗雷泽', '弗洛拉·诺兰']","['剧情', '科幻', '冒险']", 美国 / 英国 / 加拿大, 英语,2014-11-12(中国大陆),169分钟,"
        ",9.4
44,阿凡达 Avatar,2009,['詹姆斯·卡梅隆'],['詹姆斯·卡梅隆'],"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹', '吉奥瓦尼·瑞比西', '乔·大卫·摩尔 ', '希·庞德', '韦斯·斯塔迪', '拉兹·阿隆索', '迪利普·劳', '马特·杰拉德', '肖恩·安东尼·莫兰']","['动作', '科幻', '冒险']", 美国, 英语 / 西班牙语,2010-01-04(中国大陆),162分钟, tt0499549,8.8
47,飞屋环游记 Up,2009,"['彼特·道格特', '鲍勃·彼德森']","['彼特·道格特', '鲍勃·彼德森', '汤姆·麦卡锡']","['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '德尔罗伊·林多', '杰罗姆·兰福特', '约翰·拉岑贝格', '大卫·卡耶', '艾丽·道克特', '杰里米·利里', '米凯·麦高万', '丹尼·曼恩', '唐纳德·富利洛夫', '杰斯·哈梅尔', '乔什·库雷', '彼特·道格特']","['剧情', '喜剧', '动画', '冒险']", 美国, 英语,2009-08-04(中国大陆),96分钟, tt1049413,9.1
50,龙猫 となりのトトロ,1988,['宫崎骏'],['宫崎骏'],"['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣', '高木均', '雨笠利幸', '丸山裕子', '广濑正志', '鹫尾真知子', '铃木玲子', '千叶繁', '龙田直树', '鳕子', '西村朋纮', '石田光子', '神代知衣', '中村大树', '水谷优子', '平松晶子', '大谷育江']","['动画', '奇幻', '冒险']", 日本, 日语,2018-12-14(中国大陆),86分钟, tt0096283,9.2
53,哈利·波特与密室 Harry Potter and the Chamber of Secrets,2002,['克里斯·哥伦布'],"['史蒂夫·克洛夫斯', 'J. K. 罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '汤姆·费尔顿', '理查德·格雷弗斯', '费奥纳·肖', '托比·琼斯', '朱丽·沃特斯', '邦妮·怀特', '詹森·艾萨克', '肯尼思·布拉纳', '艾伦·瑞克曼', '理查德·哈里斯', '玛吉·史密斯', '约翰·克里斯', '肖恩·比格斯代夫', '克里斯·兰金', '克里斯蒂安·库尔森']","['奇幻', '冒险']", 英国 / 美国, 英语,2003-01-24(中国大陆),161分钟, tt0295297,8.8
